Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
l'à fàt pròpe 'l girovàgo	ha fatto proprio il girovago
'l sìå piö 'ndo 'ndà gna' lü a śbate	non sapeva più dove andare a sbattere la testa
fìn che ü dé 'l rìå	finché un giorno arriva
'n d'ünà cità	in una città
ål la èt tütå	e si accorge che è tutta
paràdå de négher	parata in nero
tütå paràdå a lütto	parata a lutto
« cume mài?	« come mai? »
cume mài? »	« come mai? »
'l và déter	entra
ål và 'n d'ün albèrgo	va in un albergo
'l dumàndå cume mài	domanda il perché
e i fà: — perchè nóter — ål dìs —	e rispondono: — perché
sö 'n chèlå muntagnìnå sö ché	su questa montagnetta
ål gh'è sö	c'è
ü drago	un drago
che 'l gh'à	che ha
sèt có	sette teste
i l' ciàmå « 'l drago-dèle-sètte-tèste »	lo chiamano il « drago-delle-sette-teste »
e tüc i dé	e tutti i giorni
biśógnå che 'l vàe sö ünà persùnå a fàs mangià	una persona deve andare a farsi mangiare
perchè se chèlå persùnå gliò la 'à mìå sö a fàs mangià	perché se non va a farsi mangiare
lü	lui
ål vé 'n cità	viene in città
e 'l fa diśastri	e fa disastri
e 'ncö 'l gh'è tucàt ala fiölå dol rè	oggi è toccato alla figlia del re
e biśógna che la àe a fàs mangià	e deve andare a farsi mangiare
perchè ché	perché qui
la lègge è uguàle per tuti	la legge è uguale per tutti
e 'l rè 'l gh'à apénå chèlå fiölå gliò	il re ha solo quella figlia
e gliùrå la cità l'è paràdå a lütto —	così la città è parata a lutto —
é óter	e altro
lü l'à fàt paré ni-ént	lui ha fatto finta di niente
'ndàt là	s'è avviato
l'è partìt, l'è 'ndàt sö 'n de 'stå muntagnìnå cói sò tré cà	è partito, è andato su questa montagnetta coi suoi tre cani
pacìfich e tranquìl	pacifico e tranquillo
ål rìå sö	arrivato lassù
dòpo d'ü momént ca 'l rìa sö	dopo un momento che è arrivato su
lü l'è stàt om pó 'ndré	si è messo un po' lontano
de 'ndóe 'l ri-à-å pò 'l drago	dal drago
ål rìå	giunge
la principèså	la principessa
cumpagnàdå	accompagnata
de tüc i sò sèrvi e servitùr	da tutta la servitù
tütå col vél négher	col velo nero
la s'è 'ngiönüchiàdå gió dinàs	si è inginocchiata davanti
a ünå capelètå d'la Madónå	a una cappelletta della Madonna
gliò a pregà	per pregare
ontàt che la spetà-å che 'l ri-és ol drago	mentre aspettava che arrivasse il drago
pò la s'è purtàdå 'n fò	poi si è spostata più in là
'ndóe la gh'éå de preparàs per fàs mangià	dove si doveva preparare per farsi mangiare
ol drago 'l se avànså	il drago avanzava
piàno piàno	pian piano
piàno piàno	pian piano
ol drago 'l se avànså	il drago avanzava
quàndo che l'è stàt	quando è stato
a ü méter de distànså dèla principèsa e 'l drago	a un metro di distanza dalla principessa
lü l'à fàt:	il giovane ha gridato:
— Turco!	— Turco!
Móro!	Moro!
Śbranafèrro!	Sbranaferro!
sbranate quella fiéra che siéte ancóra a tèmpo! —	sbranate quella fiera che siete ancora in tempo! —
lùr g'è 'ndàt fò	loro si sono avvicinati
e i gh'è ulàc al drago-dèle-sète-tèste	sono balzati addosso al drago-delle-sette-teste
e i l'à cupàt	e l'hanno ammazzato
pòtå dunque la principèsa la s'è salvàdå	dunque la principessa si è salvata
tütå contétå, te pö pensà!	era tutta contenta, puoi immaginarti!
quàndo i fà cünt de 'ndà sö a tö	quando pensavano di andare a prendere
apéna i òs	solo le ossa
lé l'è sö 'ngiünüchiàdå gió	lei è là inginocchiata
che la ringrasia la Madónå	che ringrazia la Madonna
ma nigü i sa	ma nessuno sa
chi che l'à salvàdå	chi l'ha salvata
lé l'à mìå ìst	lei non aveva visto
che g'érà tré cà che à cupàt ol drago	che tre cani avevano ammazzato il drago
l'à ìst ni-ént lé	non ha visto niente
perchè i parenti e tüc	i parenti e tutti gli altri
érå tüc caminàc	se n'erano andati
tüc tüc tüc	tutti tutti tutti
gh'érå piö nigü, piö nigü, piö nigü	non c'era proprio più nessuno
dunque apénå partie tüc	appena tutti sono partiti
'sto fiöl	quel ragazzo
l'è 'ndàt fò	è andato
'l gh'à davrìt	ha aperto
la bócå	la bocca
ali sèt crape	alle sette teste
e 'l gh'à tòt fò	e ha tolto
li sèt lèngue	le sette lingue
e pó 'l gi à metide 'n dol sò śàino	poi le ha messe nel suo zaino
l'à töt sö i sò cà	ha preso i cani
pò l'è 'ndàt a l'albèrgo	è andato all'albergo
l'à dumandàt alòśgio per lü e per i sö cà	ed ha chiesto alloggio per lui e per i cani
e bàsta	e basta
gliò	lì
óter l'è stàdå finìdå	così è stata finita
ma 'l rè	ma il re
l'éå mandàt fò 'l bando	aveva emesso il bando
che chi	che chi
che arés salvàt la so tùśå	avesse salvato sua figlia
ål gh'aràs	l'avrebbe presa
dàt la fiölå per ospùśå	in sposa
e 'm piö	e per di più
'l saràs ostàt lü	sarebbe diventato
'l rè	re
e l'arés	e avrebbe
regnàt lü	regnato
e và bé	e va bene
ogliùrà	allora
dòpo l'è pasàt dù o tré dé	trascorsi due o tre giorni
al pàsà ü casadùr	passa sulla montagna un cacciatore
'osto casadùr ål vèt che	che vede
gh'è 'l drago-dèle-sète-tèste	il drago-delle-sette-teste
e gliùrå lü 'l gh'à taiàt vià tüc i sèt có	allora gli ha tagliato tutte le sette teste
'l gì à metìc on dol sò śàino	le ha messe nello zaino
e pò 'l ghe gi à purtàc	poi le ha portate
al rè	al re
e 'l gh'à dìt:	dicendo:
— mé — 'l dìs —	— io
ò cupàt	ho ammazzato
ol drago-dèle-sètte-tèste	il drago-delle-sette-teste
te pö pensà!	immaginati!
ma	ma
lé la principèså	la principessa
la l'à ardàt	l'ha guardato
l'è restàdå gliò 'm punì	ma è rimasta un po'
suspéśå	incerta
'l ghe paréå mìå lü	non le sembrava quello
ma	ma
« però pòtå — la dìs —	« però pota — dice —
se l'è lü... magare mé	« e se fosse lui?... magari
tütå confùśå... »	tutta confusa... »
tüt ü laùr, tüt l'óter	una cosa e l'altra
ogliùrå i à preparàt	così hanno stabilito
ol dé	il giorno
ch'i se spuśà-å	delle nozze
quanti invitati	quanti invitati
e preparativi!	e preparativi!
e madóna madóna signùr!	madonna!
tütå la cità che fà-å fèstå!	tutta la città faceva festa!
quàndo l'è stàt ol mumént	quando è stato il momento
che la spùśå l'è preparàdå per ondà 'n céśå	che la sposa era pronta per andare in chiesa
preparàt là per la matìnå	e al mattino
'm punì de spuntino	per un po' di spuntino
tüt preparàt ünå gràn' tàola e tüt	era apparecchiata una gran tavola
'sto fiöl	quel ragazzo
'l ciàmå	chiama
Turco	Turco
e 'l ghe dìs — Turco	gli dice: — Turco
avanti!	avanti!
Turco 'l và de déter	Turco entra
e 'l gh'à bütàt in àriå	ha buttato per aria
tàoi	tavoli
taulì	tavolini
bicér	bicchieri
mangià e tüt, l'à bütàt tüt per térà	ha buttato tutto per terra
l'è 'ndàt tüt in àriå	ha buttato tutto per aria
e gliùrå che s' fài pò chè?	allora che si fa?
che s' pöl piö spuśàs	non ci si può più sposare
l'è tüt lé in àriå	tutto è per aria
e 'l gh'à scarpàt anche 'l vistìt ala spùśa	ha rotto persino il vestito alla sposa!
eéh	eh
— brào 'ssè! —	— ma bravo! —
gliùrå i à ciapàt Turco	allora han preso Turco
i l'à ligàt	l'hanno legato
i l'à ciapàt	l'hanno preso
i l'à metìt on d'ünà preśù	messo in una prigione
e i l'à seràt sö	e rinchiuso
dunque	dunque
ol spuśalissio	lo sposalizio
i l'à rimandàt al dé dopo	è stato rimandato al giorno dopo
ol dé dopo	il giorno dopo
tüt amó prónt	tutto è ancora pronto
i à fàt ünå gran' lauràdå èh!	han fatto una gran faticaccia
cìamàt	avevano chiamato
dì sèrvi amó a' dèli ótre bande	dei servi anche da altre parti
dèle caśe reàli	dalle altre case reali
i à fàt i preparativi	han fatto i preparativi
'l vistìt dèla spùśå amó nöf ün'ótrå óltå	il vestito della sposa nuovo
tüt amó preparàt	tutto ancora pronto
quàndo i è prónt	quando è il momento
per fà lo spuntino	di fare lo spuntino
prìmå de 'ndà 'n céśå	prima di andare in chiesa
lü 'l ciàma	lui chiama
Móro	Moro
e 'l ghe dìs:	e gli dice:
— Móro	— Moro
avanti anche té! —	avanti anche tu! —
pòtå Móro 'l và déter	Moro entra
e 'l gh'à bütàt in àriå	ha buttato tutto per aria
tüt amò a' lü	pure lui
tüt ospacàt sö	e rotto ogni cosa
e butiglie	bottiglie
e bicér	bicchieri
tàoi per àriå	tavoli per aria
gh'érå déter ö móndo manicomio!	un finimondo!
e pò la śét i scapà-å	la gente scappava
perchè i gh'éå pura	perché aveva paura
però li guardie	ma le guardie
li gh'è ri-àde a ciapà	son riuscite a prendere
ol cà	il cane
e i l'à metìt on preśù 'nsèmå chèl óter	e l'han messo in prigione assieme all'altro
e 'l matrimònio l'è stàt rimandàt al dé dòpo amó ün'ótrå óltå	il matrimonio è stato rimandato un'altra volta al giorno dopo
'l dé dopo	il giorno dopo
fàt amó i preparativi	fatti ancora i preparativi
pròpi	proprio
amò a' piö tànt de lüso	più di lusso
de chi óter dù dé	degli altri due giorni
quàndo l'è stàt ol momént	quando è stato il momento
che i fà cünt de mangià	che pensavano di mangiare
de bìe	di bere
de fà ü bèl brìndiśi	di fare un bel brindisi
perchè la spùśå l'érå preparàdå amó piö bé de prìmå	perché la sposa era vestita ancora meglio di prima
ål màndå déter	lui manda dentro
Śbranafèrro	Sbranaferro
chèl pò l'à po' bütàt in àriå	quello ha buttato in aria
l'infinito!	l'infinito!
gh'érå pròpe restàt piö	non era rimasto proprio
piö nì-ént, piö nì-ént, piö nì-ént	niente di niente
e i à ciapàt anche chèl	a prendere anche quello
i gh'è ri-àc	ma sono riusciti
e i l'à metìt on preśù 'nsèmå a chi óter dù	e l'han messo in prigione assieme agli altri due
béh	beh
và bé	va bene
e gliùrå	così
li nòse è rimandae al dé dòpo amó ün'ótrå óltå	le nozze sono state rimandate un'altra volta al giorno dopo
quàndo che l'è l'ùrå	quando è ora
chi öl ondà 'n céśå	di andare in chiesa
che i partìs per ondà 'n céśå	e stanno per partire
lü 'l se preśèntå	il giovane si presenta
ål và ala pórtå dèla caśa reale	va alla porta della casa reale
li guàrdie le öl mìa lagàl pasà	le guardie non lo vogliono lasciar passare
e lü 'l ghe dìs:	e lui dice:
— mé öe 'ndà	— voglio passare
perchè öe 'ndà a ritirà i mé cà	perché voglio andare a ritirare i miei cani
— ah perchè l'è lü chèl di cà? —	— ah perché lei è quello dei cani? —
e gliò	e lì
l'è saltàt fò ü móndo manicomio	è successa una gran baraonda
ma i l'à ligàt èh!	l'hanno legato
i l'à ligàt	l'hanno legato
i l'à 'mmanetàt	ammanettato
e pò i pórtå ala preśénsà dol rè	e portato alla presenza del re
e i ghe dìs: — chèsto	dicono: — questo
l'è 'l padrù di cà	è il padrone dei cani
— ah te sé té 'l padrù di cà!	— ah sei tu il padrone dei cani!
ah brào!	bravo!
adès cumè 'm la mètei?	adesso come la mettiamo?
— mète — 'l dìs —	— la mettiamo
che öe spuśà la principèså	che voglio sposare la principessa
— pensà 'maginàs!	— figurarsi!
dòpo che	dopo che
tré dé	per tre giorni
te m'é bütàt in àriå tüt	hai buttato per aria tutto
t'é mìå cupàt ol drago	e non hai nemmeno ammazzato il drago
pò te öet pò 'gnì ché adès?	ora vieni qui!
prìmå	prima
de fà la spùśå	di far le nozze
åm te 'mpìcå	ti impiccheremo
'm te tàcå vià	e ti appenderemo
e lü 'l gh'à dìt:	lui ha detto:
— piàno piàno!	— piano piano!
prìmå de tacàm vià mé	prima di appendere me
åm vedirà	vedremo
mé só mìå ün òm de mètem ala fùrcå	io non sono un uomo da mettere alla forca
perchè 'l drago-dèle-sètte-tèste l'ó cupàt mé —	perché il drago-delle-sette-teste l'ho ammazzato io —
ogliùrå 'l sàltå 'm pé chèl óter, ål fà:	allora balza in piedi l'altro che dice:
— nò, l'ó cupàt mé	— no, l'ho ammazzato io
perchè mé ó purtàt li sèt crape —	ho portato le sette teste —
ol rè 'l fà:	e il re aggiunge:
— chèl fiöl ché l'à purtàt li sèt crape	— questo ragazzo ha portato le sette teste
e dunque l'è testimone	dunque è la prova
che lü l'à cupàt ol drago-dèle-sète-tèste —	che ha ammazzato il drago —
e gliurå lü 'l fa:	ma il giovane dice:
— pru-é mò	— provate
davrìgå	ad aprire
la bócå a chile sètte tèste gliò	la bocca a quelle sette teste
ardé se li gh'à déter li sèt lèngue! —	guardate se hanno le sette lingue! —
i davrìs ünà	ne aprono una
i n' davrìs dói	ne aprono due
pòtå li lèngue li gh'è déter mìå	le lingue non ci sono
'l destàcå gió 'l sò śainèt che 'l gh'à söli spale	lui toglie lo zaino dalle spalle
'n d'ü tuchèl de càrtå	mette in un pezzo di carta
'l ghe mèt ogliò li sèt lèngue	le sette lingue
e la principèså la gh'à dìt:	e la principessa esclama:
— ó ìst mé che l'érå mìå lü	— mi ero accorta che non era stato lui
che l'éå cupàt ol drago-dèle-sètte-tèste!	ad ammazzare il drago-delle-sette-teste!
ogliùrå	allora
i à ciapàt	han fatto così
prìmå i gh'à metìt sö	per prima cosa a quello hanno messo
ü bèl pér de scarpe de fèr	un bel paio di scarpe di ferro
a lü e i gh'à dìt:	dicendogli:
— té te gh'é de śgirà	— devi girare
tütå la cità	tutta la città
finå che t'é livràt 'östi scarpe ché de fèr	finché avrai consumato queste scarpe di ferro
dòpo 'm ta metirà 'm présù	dopo ti metteremo in prigione
e 'm te darà la cundànå —	e ti daremo la condanna —
per livrà ü pér de scarpe de fèr tuśèi	per consumare un paio di scarpe di ferro ragazzi
ardé che 'l ghe öl anni e anni nèh	guardate che ci vogliono anni e anni
perchè 'l fèr l'è dür!	perché il ferro è duro!
e 'ntàt	e intanto
i è 'ndàc, i s'è spuśàc	loro si sono sposati
i à mangiàt e bi-ìt	han mangiato e bevuto
mé pènse ch'i sarà dré amó a fà fèstå àch adès	io penso che staranno facendo festa ancora adesso
e chèl dóli scarpe de fèr	e quello delle scarpe di ferro
ål curirà amó per la cità	correrà per la città
sénså ìgå amò de finì de livrale	senza aver ancora finito di consumarle
Gh'érå ünå óltå	C'erano una volta
'n d'ü paìs	in un paese
mìa tàt grànt	non molto grande
dù fiöi	due ragazzi
dù śuenòc	due giovanotti
sénsa papà	senza papà
sènsa màmå	e mamma
pòtå ma i érå pu-arì	erano poveri
i érå sénsa laurà	e senza lavoro
— béh	— beh
am và 'n sércå de laurà	andiamo in cerca di lavoro
e de fürtünå —	e di fortuna —
i rìå 'n d'ü paìs	arrivano in un paese
e i èch che tütå la śét	vedono che tutta la gente
e i fà sö lì alìs	fa le valigie
e i mènå vià li sòi ache	porta via le mucche
i sò pursèi	i maiali
li sòi galine	le galline
e i pórta vià tüto dèli cà	porta via tutto dalle case
— ma séf dré a fà chè pò óter?	— ma cosa state facendo?
pòta l'è dré a 'gnì śó la muntàgnå	— sta cadendo la montagna
biśògna che me śgómbre	dobbiamo sgombrare
'l paìs	il paese
— se óter	— se voi
me dé de mangià e de bìe	ci date da mangiare e da bere
nóter m'està sö a tégnef sö la muntàgnå	noi restiamo a sostenervi la montagna
perchè nóter am se ciàmà	perché ci chiamiamo
Śbrana-mónti	Sbrana-monti
e Śbrana-montàgnå	e Sbrana-montagna
e óter a püdé stà qu-èc e pacìfich —	così potrete stare quieti e tranquilli —
e lùr	loro
tüc decórde:	tutti d'accordo:
— sé sé	— sì, sì
'sti dù śuenòc	i due giovanotti
i s'è metìc	si sono messi
depröf ala montàgnå	vicino alla montagna
e la montàgnå l'è mài burlàdå śgió	e quella non è mai caduta
'a chi dol paìs	la gente del paese
i ghe purtà-å de mangià	portava loro da mangiare
ma i s'è stüfàc de faga de mangià	ma poi s'è stancata di prepararlo
i gh'à dìt:	e ha detto:
— nóter åm ve n' dà piö de mangià	— noi non vi diamo più da mangiare
se 'l ve pàr	se vi pare
laghé 'gnì gió la muntàgnå	lasciate cadere la montagna
ma nóter åm ve dà piö de mangià	non vi diamo più da mangiare
— éh béh, và bé	— va bene
ogliùrå nóter åm làgå 'gnì śó la muntàgnå —	allora lasciamo cadere la montagna —
cóme lùr i è 'gnìt vià dèla muntàgnå	come loro se ne sono venuti via
la muntàgnå l'è burlada gió	la montagna è caduta
e lùr è restàc	e quelli sono rimasti
tüc sótå	tutti sotto
potà ma lùr érå sènsa sòldi	ma i due erano senza soldi
sènsa monéta	senza moneta
e poarèc	e poveri
e i se 'nvìa amò 'n sérca de fürtünå	partono ancora in cerca di fortuna
i rìa 'n d'ünà cità	arrivano de una città
i dumanda alòśgio	domandano alloggio
e pà a' 'm pó de mangià perché...	e anche qualcosa da mangiare perché...
beh 'm pó de mangià i ghe l'à dàt	beh qualcosa da mangiare gliel'hanno dato
alòśgio i tróå mìå	ma alloggio non ne trovavano
è 'ndàt dol rè	sono andati dal re
ol rè 'l gh'à dìt:	che ha detto:
— mé	— io
gh'ó ünå palasìnå	ho un piccolo palazzo
se uré 'ndà a dórme	se volete andarci a dormire
ve la regale àch	io ve lo regalo
però biśògna che gh'ésef	però dovete avere
quàter dìt de pél söl stòmech perchè ardé che sögliò	quattro dita di pelo sullo stomaco perché là
'l ghe ne stà mìå sö de śét	non ci sta nessuno
— ah ma nóter åm ghe stà	— noi ci andiamo
— éh bé'	— beh
se uré 'ndàgà sö	se volete
andè sö	andateci
durmì	dormite
sögliò gh'è sö de mangià	là c'è da mangiare
de bìe	da bere
de dórme	da dormire
cóme 'l ve pàr a óter	come vi pare
lùr la sérå i 'à sö	loro di sera ci sono andati
pacìfech e tranquì-i	pacifici e tranquilli
se sèntå śgió	si siedono
— fài chè de séna?	— cosa facciamo per cena?
— bé' åm fà 'm pó de rìs	— facciamo un po' di riso
scùs	condito
— và bé' 'm fà 'l rìs scùs —	— va bene —
quàndo l'è 'l momént ch'i è dré a mangià	quando stanno mangiando
i cumìnciå:	cominciano:
— òcio che büte!	— spostati che butto!
òcio che büte!	spostati che butto!
òcio che büte!	spostati che butto!
— eéh büta pà a' té! —	— butta pure! —
l'è 'gnìt gió dré al camì	è caduta dal camino
ünå crapa de mórt	una testa di morto
tàt brütå	tanto brutta
tàt brütå	ma tanto brutta
lùr i l'à metìdå söl tàol	loro l'hanno messa sul tavolo
i à ciapàt ü bèl piàt	hanno preso un bel piatto
i gh'à dàt fò de mangià	le hanno dato da mangiare
ma lé	ma quella
l'à mài mangiàt	non ha mai mangiato
è stàc ogliò 'm pó	dopo un po'
e pò śgiü 'l gh'à dìt:	uno dice:
— ma dài póteglio fò ai cà	— portala ai cani
che alméno i la mangerà i cà e bùnå nòt —	almeno loro la mangeranno e buona notte —
i ghe l'à purtàdå fò ai cà	l'han portata ai cani
è stàc ogliò 'm pó, i à mangiàt, i à bi-ìt	sono rimasti là un po', hanno mangiato e bevuto
pò è 'ndàc on dol lèt	poi sono andati a letto
a meśanòt ol pandemònio!	a mezzanotte un pandemonio!
madónå!	madonna!
i sìntìå e i ghe tirà-å li cu-érte	tiravano le coperte
e 'ndré e inàs	avanti e indietro
e i ciapà-å àiguå söla cràpå	buttavano acqua sulla testa
e i ghe tirà-a vià li scagne	toglievano le sedie
e i ghe tirà-å li gambe dol lèt	tiravano le gambe del letto
ma 'mpiantélå	piantatela
e no 'mpiantélå	e non piantatela
fina che stüf	finché stanchi
de śburdelà	del baccano
è saltài fò tüddù	si sono alzati tutti e due
con d'ü bastù	con un bastone
e i à picàt gió ma l'àriå	si sono messi a picchiare
ma i picà-å l'àriå	ma picchiavano l'aria
di modo	cosicché
che lùr i se s'è calmàc	quelli si sono calmati
e i à durmìt fina la matina	e loro han dormito fino al mattino
ś' vèt che ergü 'sti bòte i gi à ciapàde	si vede che qualcuno queste bastonate le aveva prese
la matìnå i dórmå 'm piéno	al mattino dormivano sodo
i sént che	poi sentono che
i rìa a cantà 'l Miśerére	arrivano cantando il Miserere
i arda śgió dol balcù	guardano dal balcone
— madóna l'è sà 'l prét cóla crùs	madonna! arriva il prete con la croce
cói serviénc	e i chierichetti
con tüta la pupulassiù dol paìs	con tutta la gente del paese
e con dói case de mórt!	e con due casse da morto!
— ma...	— ma...
'ndéf a fà chè pò óter?	cosa fate?
— ma — 'l dìs — cóme mài ghe séf pò ìf?	come mai siete ancora vivi?
— a ché fòśgia óter 'gnìf pò a töm nóter che 'm sè mìa mórc?	— perché venite a prenderci se non siamo morti?
— ma 'm sè sémper 'gnìc a töi mórc nóter la śét ché...	— noi siamo sempre venuti a prendere dei morti qua...
— ah!	— ah!
ma nóter m'à sentìt negótå, m'à durmìt tütå nòt!	noi non abbiamo sentito niente, abbiamo dormito tutta notte!
— ma l'è 'mpusìbel!	— impossibile!
— nóter m'à durmìt tütå nòt pacìfich	— noi abbiamo dormito tutta notte pacifici
m'é fàt desedà fò óter	voi ci avete fatto svegliare
turné 'ndré, turné 'ndré per l'amùr di dìo	tornate indietro per l'amor di dio
laghém dórme, laghém pacìfich! — turnàc a 'ndà 'n dol lèt	lasciateci dormire in pace! — così sono tornati a letto
pacìfich e tranquì-i	pacifici e tranquilli
i gh'à mìa dìt lùr	loro non hanno detto
chèl che 'l gh'ìa capitàt la nòt	quello che era successo di notte
la séra dopo	la sera dopo
è dré amò che i sénå	stanno ancora cenando
i turna amò:	di nuovo gridano:
— òcio che büte!	— spostati che butto!
òcio che büte!	spostati che butto!
òcio che büte!	spostati che butto!
— ma büté pà a' óter che stüf de bütà	— buttate pure, che stanchi di buttare
trigaré! —	vi calmerete! —
pòtå	pota
l'è 'gnìt gió trèi crape de mórt	sono cadute tre teste di morto
tàt brüte	ma tanto brutte
tàt brüte che li fà-å sö d'ògne ghìgnå	e tanto brutte che facevano ogni ghigno
e lùr i ìa fàt	loro han preparato
pastasütå	della pastasciutta
i n'à metìt 'm pó lé sura 'l tàol	ne han messo un po' sul tavolo
i gh'à dàt fò i sò piàc	e han dato loro i piatti
— mangé! —	— mangiate! —
ma lure li à mài mangiàt 'osti crape	ma quelle teste non hanno mai mangiato
quàt dèla fì	alla fine
i gh'i a dà de fò ai cà de mangià	le hanno date da mangiare ai cani di fuori
i à mangiàt	poi han mangiato
i à bi-ìt	e bevuto
i è 'grnìt	erano diventati
pròpe ciùch perchè i à dìt:	proprio brilli perché si erano detti:
— alméno 'm sentirà mìa 'l burdèl de stanòt	— almeno questa notte non sentiremo del fracasso
quàndo l'è stàt	quando è stata
meśanòt	mezzanotte
eéh, ciào!	eh ciao!
madónå che baraóldå!	madonna che baraonda!
potà	pota
l'éra 'mpusìbel dórme	era impossibile dormire
e i tirà-å i lèc	ne han fatte tante
e i n'à fàt tate	tiravano i letti
e sö e gió d'li scale	su e giù dalle scale
e i ghe trà-a vià li cu-érte	tiravano le coperte
i ghe purtà-a vià i cusì	e portavano via i cuscini
i è ri-àc al fósch	quelli erano venuti al buio
fina che è saltài fò	finché loro si sono alzati
amò con de 'sti bastù	ancora con quei bastoni
pìmf e pàmf!	pimf e pamf!
e i s'è calmàc	si sono calmati
e i à durmìt	così loro hanno dormito
ala matina l'è sà amò 'l preòst	al mattino arriva di nuovo il prevosto
pacìfich e tranquìl	tranquillo
lü e tüt ol sò cortéo fùnebre gliò	con il corteo funebre
a töi	per portarli via
credendo ch'i füdés mórc	credendo che fossero morti
e i gh'à dìt:	ma loro han detto:
— ma turné 'ndré che nóter åm sè ìf!	— tornate indietro che noi siamo vivi
åm gh'à mìa de biśògn de purtàm al cimitero	non abbiamo bisogno di andare al cimitero
che nóter m'està 'ssè mài bé ché! —	noi stiamo tanto bene qui! —
ol rè meravigliato	il re meravigliato
quàśe a' pentìt ål disìa: — ma pusìbel!	quasi anche pentito, si diceva: — possibile!
che gliùrå gh'è ü mistéro	allora è un mistero
o che śg'è śgét ostri-àc chi che i gh'è po'	o quella è gente stregata
chi ch'i sà pò	o chissà! —
màh! —	mah! —
comunque lùr dòpo dré al dé è 'ndàc on cità	comunque loro durante il giorno sono andati in città
i s'è di-ertìc	si sono divertiti
è ri-àc a cà la sérå bén tinti	e sono arrivati a casa la sera ben allegri
ì à bi-ìt sö pò tance bicér	per i tanti bicchieri bevuti
a sérå	la sera
chèlå sérå gliò i à fàt i gnòch	quella sera hanno fatto gli gnocchi
è dré ch'i śgi a màngiå	stanno mangiandoli
i sént amò:	sentono ancora:
— òcio che büte!	— spostati che butto!
òcio che büte!	spostati che butto!
òcio che büte!	spostati che butto!
— büte	— buttate
'gnì! —	venite! —
l'è 'gnìt gió	sono caduti
quàtr'òmegn	quattro uomini
ligàc onsèmå	legati assieme
dré al camì	dal cammino
ma tàt grànc	tanto grandi
tàt brüc	brutti
tàt gròs	e grossi!
e famàc ostìnch	erano affamati morti
lùr i gi à ciapàc	loro li han presi
i n'à metìt	ne han messo
giü per cantù dol tàol	uno ad ogni angolo del tavolo
i gh'à töt fò ü bèl piàt de gnòch	han dato loro un bel piatto di gnocchi
i ga dà sà i sò furchète, i sò tu-aiöi	le forchette e i tovaglioli
tüc i sò laùr	tutto il necessario
i gh'à dìt: — mangé! —	e han detto: — mangiate! —
no i màngiå	quelli non mangiavano
— mangé! —	— mangiate! —
no i màngiå	non mangiavano
i à purtàt pasénsia 'm pó	han portato pazienza per un bel po'
e pasénsia 'm pó	pazienza per un bel po'
e pasénsia 'm pó	pazienza per un bel po'
e pò fato stà e tè che i gh'à dìt:	poi alla fine hanno detto:
— adès åm ve pórta fò ai cà	— adesso vi portiamo ai cani
che i farà öna buna sénå —	che faranno una buona cena —
e gh'i à purtài fò ai cà	li han portati ai cani
e i cà i à senàt	che così hanno cenato
o fórse i sarà pò a' sparìt perché	o forse quelli stavolta saranno spariti
só mìa	non lo so
quàndo l'è sà meśanòt	a mezzanotte
i è 'n dol lèt	quando loro sono a letto
chèla nòt ogliò	quella notte lì
pòtå	pota
'l se n'è fàt sà tàc e tàc	è arrivata tanta e tanta
e tàc	e tanta
tàt de chèlå śét	di quella gente
i à cuminciàt, i à ciapàt córde	allora hanno cominciato a prendere delle corde
i n'à lìgàt ali gambe dol lèt	li hanno legati alle gambe del letto
ligàt ali gambe dol lèt i ghe purtà-å vià 'l lèt	ma quelli portavano via il letto
li scale i gh'i à purtade vià	le scale
ol paimént ål gh'érå piö	non c'era più neanche il pavimento
pòtå gh'érå piö ni-ént	non c'era più niente
è restàc in àriå	sono rimasti in aria
— s' fài pò chè ché? —	— cosa si fa? —
ogliùrå i è dàt fò de màc	allora si sono infuriati
i è saltài fò l'istès	sono balzati in piedi ugualmente
e pò i a ciapàt sàlt	hanno presso
e bastù	bastoni
e furche	e forche
e ràscoi	e rastrelli
i ghe n'à dàt gió	ne han date tante
fina che i à püdìt	finché han potuto
ma a l'àriå	ma picchiavano l'aria
ma comunque i spìric i ciapà-å li bòte	comunque gli spiriti le prendevano
fìnå che i s'è calmàc	finché si son calmati
matìnå	al mattino
è sà amò	arriva ancora il corteo
pacìfich e tranquì-i	pacifici e tranquilli
pròpe credèndo che i füdés mórc	credendo davvero che fossero morti
— macché	macché
che è amò ìf! —	sono ancora vivi!
pòtå i capì-a mìå che mistèro che gh'érå déter	non si capiva che mistero ci fosse
'nfati	comunque
che lùr g'éra amò ìf	erano ancora vivi
töi contèc i à dìt:	e tutti contenti hanno detto:
— adès m'à superàt li trèi nòc —	— adesso abbiamo superato le tre notti —
perchè 'l rè 'l gh'ìa dìt:	il re aveva detto:
« se ghe ri-é a süperà trèi nòc	« se riuscirete a superare tre notti
ål rèstå òs' ol palàs »	il palazzo sarà vostro »
ma lùr però per chèl dé gliò è mìa 'ndàt dol rè	ma loro quel giorno non sono andati dal re
la sérå	alla sera
g'è sö che i sénå	stanno cenando
pacìfich e tranquì-i	pacifici e tranquilli
che i màngiå	che mangiano
menemà	e d'un tratto
ål rìå	arrivano
tré òmegn	tre uomini
